pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000248,Alejandro Revuelta Montero,DF,Getafe,ESP,1,1,0,0,0,0,0,0,0,0,0
left_000249,Alejandro Zendejas,"FW,MF",América,USA,85,5590,24,19,0,69.17,0.16,81.56,0,0,0
left_000250,Alejo Véliz,FW,"Sevilla, Tottenham",ARG,14,85,1,0,0,0,0.25,56.25,0,0,0
left_000251,Alek Álvarez,"DF,MF, DF","Necaxa, UNAM",MEX,13,484,0,1,0,71.43,0,78.75,0,0,0
left_000252,Aleksa Terzić,DF,Fiorentina,SRB,22,935,1,1,0,56.25,0.1,80.39,0,0,0
left_000253,Aleksandar Boljević,"DF,FW",Standard Liège,MNE,7,205,0,0,0,83.33,0,59.55,0,0,0
left_000254,Aleksandar Busnić,"MF,FW",Vizela,SRB,19,767,0,0,0,57.14,0,78.98,0,0,0
left_000255,Aleksandar Mitrović,FW,Fulham,SRB,25,2041,14,1,4,50,0.16,60.12,0,0,0
left_000256,Aleksandar Pavlovic,MF,Bayern Munich,GER,23,1450,3,2,0,53.12,0.33,92.79,0,0,0
left_000257,Aleksandar Radovanović,DF,"Almería, Kortrijk",SRB,31,2431,0,0,0,70,0,78.7,0,0,0
left_000258,Aleksandar Sedlar,DF,Alavés,SRB,11,946,1,0,0,71.43,0.25,84.69,0,0,0
left_000259,Aleksandr Golovin,"MF,FW, FW,MF",Monaco,RUS,62,4856,14,13,0,62.96,0.14,73.26,0,0,0
left_000260,Aleksei Miranchuk,"MF,FW, MF","Torino, Atalanta",RUS,56,3265,7,10,0,47.83,0.09,76.72,0,0,0
left_000261,Alemão,DF,Portimonense,BRA,32,2730,2,0,0,71.67,0.2,81.77,0,0,0
left_000262,Alen Halilović,"MF,FW",Fortuna Sittard,CRO,58,3866,6,5,1,54.17,0.06,78.38,0,0,0
left_000263,Alessandro Albanese,"MF,DF",Oostende,BEL,11,562,0,0,0,66.67,0,73.65,0,0,0
left_000264,Alessandro Bastoni,DF,Inter,ITA,61,4780,2,7,0,63.04,0.06,84.65,0,0,0
left_000265,Alessandro Bianco,MF,Fiorentina,ITA,7,153,0,0,0,40,0,85.9,0,0,0
left_000266,Alessandro Buongiorno,DF,"Torino, Napoli",ITA,66,5441,4,3,0,60.18,0.11,85.24,0,0,0
left_000267,Alessandro Ciranni,DF,Zulte Waregem,BEL,27,2052,1,3,0,52.05,0.07,69.5,0,0,0
left_000268,Alessandro Circati,DF,Parma,AUS,5,450,0,0,0,66.67,0,85.84,0,0,0
left_000269,Alessandro Cortinovis,MF,Hellas Verona,ITA,1,6,0,0,0,0,0,83.33,0,0,0
