Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty,TklW_Percent
Carlos Álvarez,ESP,"['Levante', 'Sevilla']",['MF'],8,421.0,1,1,0,0.14,77.64,0.0,0.0,0.0,44.44
Carlton Morris,ENG,['Luton Town'],"['FW,MF']",38,2862.0,11,4,5,0.17,64.45,0.0,0.0,0.0,53.33
Carmona,ESP,"['Sevilla', 'Getafe', 'Elche']","['MF,DF', 'DF,MF', 'DF']",55,2894.0,4,4,0,0.16,76.46,0.0,0.0,0.0,66.2
Carnejy Antoine,HAI,['Casa Pia'],"['FW,MF']",6,122.0,1,0,0,0.25,66.67,0.0,0.0,0.0,50.0
Carney Chukwuemeka,ENG,"['Chelsea', 'Dortmund']","['MF,FW', 'FW,MF']",27,670.0,1,1,0,0.11,87.24,0.0,0.0,0.0,63.64
Carraça,POR,"['Gil Vicente FC', 'Chaves']","['DF,MF', 'DF']",46,2851.0,0,2,0,0.0,77.37,0.0,0.0,0.0,65.85
Casemiro,BRA,"['Manchester Utd', 'Real Madrid']","['MF', 'MF,DF']",59,4356.0,6,5,0,0.08,79.71,0.0,0.0,0.0,59.89
Casper Nielsen,DEN,['Club Brugge'],['MF'],70,4192.0,9,2,0,0.11,67.87,0.0,0.0,0.0,67.01
Casper Staring,NED,"['NAC Breda', 'Twente']","['MF,FW', 'MF']",16,629.0,0,0,0,0.0,73.46,0.0,0.0,0.0,40.0
Casper Tengstedt,DEN,['Benfica'],"['FW,MF', 'FW']",21,687.0,4,2,0,0.14,66.67,0.0,0.0,0.0,45.45
Casper Terho,FIN,['Union SG'],"['DF', 'DF,FW']",34,1532.0,5,1,0,0.17,71.24,0.0,0.0,0.0,55.56
Casper Widell,SWE,['Excelsior'],['DF'],30,2326.0,1,0,0,0.1,82.7,0.0,0.0,0.0,52.38
Casper de Norre,BEL,['OH Leuven'],['MF'],34,3047.0,4,4,0,0.17,84.28,0.0,0.0,0.0,51.43
Cassiano,BRA,"['Casa Pia', 'Estoril']",['FW'],70,4486.0,19,5,5,0.28,58.06,0.0,0.0,0.0,60.87
Castello Lukeba,FRA,"['Lyon', 'RB Leipzig']",['DF'],71,5627.0,3,0,0,0.13,90.55,0.0,0.0,0.0,57.14
Castrin,ESP,['Sevilla'],['DF'],5,333.0,0,0,0,0.0,91.24,0.0,0.0,0.0,57.14
Castrop Jens,KOR,['Gladbach'],"['MF,FW']",4,185.0,1,0,0,0.33,76.27,0.0,0.0,0.0,50.0
Catena,ESP,"['Rayo Vallecano', 'Osasuna']",['DF'],73,6357.0,3,5,0,0.08,82.3,0.0,0.0,0.0,55.41
Cauley Woodrow,ENG,['Luton Town'],"['FW,MF']",24,427.0,1,1,0,0.06,72.37,0.0,0.0,0.0,62.5
Cauê,BRA,"['Gil Vicente FC', 'Casa Pia']","['FW,MF', 'FW']",27,1016.0,2,0,0,0.11,72.0,0.0,0.0,0.0,33.33
Cecilio Domínguez,PAR,['Santos'],"['MF,FW']",14,273.0,0,1,0,0.0,76.43,0.0,0.0,0.0,50.0
Cederick Van Daele,BEL,['Gent'],['DF'],1,5.0,0,0,0,0.0,50.0,0.0,0.0,0.0,0.0
Cedric Zesiger,SUI,"['Augsburg', 'Wolfsburg']",['DF'],27,1832.0,0,0,0,0.0,83.83,0.0,0.0,0.0,56.0
Celso Ortiz,PAR,"['Monterrey', 'Pachuca']",['MF'],46,2912.0,0,4,0,0.0,83.66,0.0,0.0,0.0,56.04
Celton Biai,POR,['Vitória'],['GK'],5,450.0,0,0,0,0.0,64.52,54.55,20.0,0.0,0.0
Cengiz Ünder,TUR,['Marseille'],"['MF,DF']",37,2490.0,5,4,1,0.07,69.84,0.0,0.0,0.0,51.35
Cenk Özkacar,TUR,"['Valencia', 'Köln']","['MF,DF', 'DF']",42,3006.0,0,0,0,0.0,82.7,0.0,0.0,0.0,67.27
Cesar López,MEX,['Atlético'],['GK'],5,436.0,0,0,0,0.0,72.22,68.18,40.0,0.0,0.0
Cesare Casadei,ITA,"['Torino', 'Chelsea']","['FW,MF', 'MF']",16,457.0,0,0,0,0.0,79.71,0.0,0.0,0.0,50.0
Cezary Miszta,POL,['Rio Ave'],['GK'],27,2415.0,0,0,0,0.0,70.87,71.85,11.11,0.0,0.0
Chadi Riad,MAR,"['Betis', 'Barcelona']","['MF', 'DF']",27,2166.0,0,0,0,0.0,89.66,0.0,0.0,0.0,68.57
Chaim El Djebali,TUN,['Lyon'],['MF'],1,12.0,0,0,0,0.0,77.78,0.0,0.0,0.0,0.0
Chaka Traorè,CIV,['Milan'],['FW'],2,20.0,1,0,0,1.0,81.82,0.0,0.0,0.0,50.0
Chancel Mbemba,COD,"['Marseille', 'Lille']",['DF'],63,5192.0,7,2,0,0.15,85.17,0.0,0.0,0.0,61.45
Charalampos Lykogiannis,GRE,['Bologna'],['DF'],46,2244.0,4,1,0,0.11,72.32,0.0,0.0,0.0,56.67
Charles,BRA,['Vitória'],['GK'],8,675.0,0,0,0,0.0,67.55,74.07,37.5,0.0,0.0
Charles Aránguiz,CHI,['Leverkusen'],['MF'],10,493.0,1,0,0,0.2,79.74,0.0,0.0,0.0,41.18
Charles De Ketelaere,BEL,"['Atalanta', 'Milan']","['MF,FW', 'FW,MF', 'MF']",71,3419.0,12,9,1,0.17,74.52,0.0,0.0,0.0,57.14
Charles Herrmann,GER,['Gladbach'],['MF'],1,5.0,0,1,0,0.0,75.0,0.0,0.0,0.0,0.0
Charles Pickel,COD,"['Espanyol', 'Cremonese']",['MF'],37,2626.0,1,0,0,0.04,77.28,0.0,0.0,0.0,41.07
Charles Traore,MLI,['Nantes'],['DF'],12,482.0,0,0,0,0.0,75.73,0.0,0.0,0.0,62.5
Charles Vanhoutte,BEL,"['Cercle Brugge', 'Nice', 'Union SG']",['MF'],85,6244.0,2,9,0,0.05,77.05,0.0,0.0,0.0,70.86
Charles-Andréas Brym,CAN,"['Almere City', ""Sparta R'dam""]","['FW,DF', 'FW,MF', 'FW']",62,2987.0,7,5,0,0.09,73.11,0.0,0.0,0.0,81.48
Charlie Cresswell,ENG,['Toulouse'],['DF'],6,540.0,1,0,0,0.12,87.06,0.0,0.0,0.0,0.0
Charlie Taylor,ENG,['Burnley'],['DF'],28,2331.0,1,1,0,0.1,75.84,0.0,0.0,0.0,57.14
Charlie Webster,ENG,['Heerenveen'],"['MF,FW']",13,236.0,1,0,0,0.1,80.0,0.0,0.0,0.0,85.71
Charly Keita,FRA,['Beerschot'],"['FW,MF']",20,1004.0,1,1,0,0.05,66.11,0.0,0.0,0.0,57.14
Charly Rodríguez,MEX,['Cruz Azul'],"['MF,FW', 'MF']",97,7627.0,3,16,0,0.04,82.44,0.0,0.0,0.0,56.48
Charlys,BRA,['Hellas Verona'],['MF'],2,25.0,0,0,0,0.0,83.33,0.0,0.0,0.0,0.0
Che Adams,SCO,"['Southampton', 'Torino']","['FW,MF', 'FW']",33,2134.0,5,3,0,0.1,66.3,0.0,0.0,0.0,80.0
Check Keita,FRA,"['Charleroi', 'Reims']",['DF'],25,1869.0,0,0,0,0.0,84.37,0.0,0.0,0.0,71.43
Cheick Doucouré,MLI,['Crystal Palace'],['MF'],45,3688.0,0,3,0,0.0,84.18,0.0,0.0,0.0,56.76
Cheick Konaté,MLI,['Clermont Foot'],['DF'],28,1640.0,1,1,0,0.06,68.55,0.0,0.0,0.0,60.0
Cheik Thiam,GUI,['Zulte Waregem'],['DF'],2,24.0,0,0,0,0.0,69.23,0.0,0.0,0.0,0.0
Cheikh Faye,SEN,['Montpellier'],['FW'],2,37.0,0,0,0,0.0,55.56,0.0,0.0,0.0,0.0
Cheikh Niasse,SEN,['Hellas Verona'],"['MF,DF']",4,105.0,0,0,0,0.0,81.25,0.0,0.0,0.0,0.0
Cheikh Tidiane Sabaly,SEN,['Metz'],"['MF,FW', 'FW,MF']",33,1649.0,3,2,0,0.13,77.57,0.0,0.0,0.0,50.0
Cheikhou Kouyaté,SEN,"[""Nott'ham Forest""]",['MF'],33,1094.0,1,0,0,0.09,72.5,0.0,0.0,0.0,70.27
Chem Campbell,WAL,['Wolves'],"['FW,MF']",5,74.0,0,0,0,0.0,71.88,0.0,0.0,0.0,50.0
Chema,ESP,['Stuttgart'],"['MF,FW']",3,131.0,1,0,0,0.5,84.72,0.0,0.0,0.0,25.0
Chemsdine Talbi,MAR,"['Sunderland', 'Club Brugge']","['FW,DF', 'FW,MF', 'FW', 'DF,FW']",32,1472.0,5,4,0,0.15,77.4,0.0,0.0,0.0,65.0
Cher Ndour,ITA,"['Paris S-G', 'Braga', 'Benfica', 'Fiorentina']",['MF'],15,310.0,1,0,0,0.33,85.71,0.0,0.0,0.0,60.0
Cherrion Valerius,CUW,['NAC Breda'],['DF'],15,1201.0,0,0,0,0.0,77.44,0.0,0.0,0.0,83.78
Cheveyo Muy,0,['Milan'],['FW'],1,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Chico Banza,ANG,['Estrela'],['FW'],13,688.0,1,0,0,0.08,61.38,0.0,0.0,0.0,71.43
Chico Lamba,POR,"['Arouca', 'Sporting CP']",['DF'],27,2310.0,1,2,0,0.1,86.04,0.0,0.0,0.0,51.43
Chidera Ejuke,NGA,"['Sevilla', 'Hertha BSC', 'Antwerp']","['FW,DF', 'FW,MF']",45,2396.0,3,7,0,0.05,79.97,0.0,0.0,0.0,62.5
Chidozie Awaziem,NGA,"['Boavista', 'Nantes']",['DF'],30,2492.0,0,1,0,0.0,83.72,0.0,0.0,0.0,71.43
Chiedozie Ogbene,IRL,['Luton Town'],"['MF,DF']",30,1995.0,4,1,0,0.11,74.56,0.0,0.0,0.0,58.82
Chiheb Labidi,TUN,['Nacional'],"['MF,FW']",17,411.0,1,0,0,0.33,77.22,0.0,0.0,0.0,64.71
Chinonso Offor,NGA,['Zulte Waregem'],"['FW,MF']",13,468.0,2,0,0,0.15,56.15,0.0,0.0,0.0,60.0
Chiquinho,POR,"['Famalicão', 'Benfica']","['FW,MF', 'MF']",61,3301.0,6,2,0,0.1,80.49,0.0,0.0,0.0,58.54
Chris Basham,ENG,['Sheffield Utd'],"['DF,MF']",8,321.0,0,0,0,0.0,74.64,0.0,0.0,0.0,28.57
Chris Bedia,CIV,['Union Berlin'],"['FW,MF']",7,145.0,1,0,0,0.33,70.0,0.0,0.0,0.0,50.0
Chris Führich,GER,['Stuttgart'],"['FW,MF', 'FW']",72,4611.0,13,10,1,0.13,80.14,0.0,0.0,0.0,51.47
Chris Lokesa,BEL,['RKC Waalwijk'],"['FW,MF', 'MF']",51,3088.0,4,3,0,0.04,78.04,0.0,0.0,0.0,44.19
Chris Mepham,WAL,['Bournemouth'],['DF'],36,2816.0,0,1,0,0.0,83.29,0.0,0.0,0.0,57.89
Chris Nadje,FRA,['Feyenoord'],['MF'],8,195.0,0,0,0,0.0,78.85,0.0,0.0,0.0,50.0
Chris Ramos,ESP,['Cádiz'],"['FW,MF', 'FW']",52,3322.0,6,1,0,0.06,55.59,0.0,0.0,0.0,60.0
Chris Richards,USA,['Crystal Palace'],"['DF,MF', 'DF']",41,3081.0,1,1,0,0.06,82.56,0.0,0.0,0.0,64.29
Chris Rigg,ENG,['Sunderland'],['MF'],4,96.0,0,0,0,0.0,75.0,0.0,0.0,0.0,50.0
Chris Smalling,ENG,['Roma'],['DF'],40,3198.0,3,1,0,0.17,87.15,0.0,0.0,0.0,59.26
Chris Wood,NZL,"['Newcastle Utd', ""Nott'ham Forest""]",['FW'],62,3090.0,19,1,1,0.25,63.97,0.0,0.0,0.0,66.67
Chrislain Matsima,FRA,"['Augsburg', 'Lorient', 'Monaco', 'Clermont Foot']","['DF,MF', 'DF']",39,2601.0,2,2,0,0.14,86.67,0.0,0.0,0.0,61.9
Christ Makosso,CGO,['RWDM'],['DF'],4,360.0,0,0,0,0.0,60.82,0.0,0.0,0.0,70.0
Christ Mbondi,FRA,['Reims'],['FW'],1,2.0,0,0,0,0.0,100.0,0.0,0.0,0.0,100.0
Christ-Owen Kouassi,FRA,['Lecce'],['DF'],4,228.0,0,0,0,0.0,76.64,0.0,0.0,0.0,54.55
