Player,Nation,Born,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,Sh_Standard,SoT_Standard,FK_Standard,Cmp_Total,Att_Total,xAG,KP,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Tkl_Tackles,TklW_Tackles,Sh_Blocks,Int,Clr,Err,GA,SoTA,Saves,CS,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Gls_Per,Ast_Per,xG_Per,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Cmp_percent_Total,GA90,Save_percent,CS_Percent,Save_percent_Penalty
Vadis Odjidja-Ofoe,BEL,1989.0,['Gent'],['MF'],24,1330.0,1,5,6,1,0,0,2,0,1.9,1.9,3.2,5.1,34.0,7.0,1.0,722,915,3.2,19,15.0,14.0,0.0,17.0,0.0,1.0,0.0,20,17,0,16,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.34,0.13,20.59,0.03,0.14,78.91,0.0,0.0,0.0,0.0
Vagner Gonçalves,CPV,1996.0,['Seraing'],"['FW,MF']",23,1422.0,4,1,5,3,1,1,5,1,2.4,1.6,1.6,3.2,26.0,10.0,6.0,296,471,1.6,24,26.0,38.0,10.0,76.0,0.0,0.0,0.0,23,14,1,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.06,0.15,38.46,0.15,0.4,62.85,0.0,0.0,0.0,0.0
Vakoun Bayo,CIV,1997.0,"['Udinese', 'Charleroi']",['FW'],12,968.0,3,2,5,3,0,0,2,0,6.2,6.2,0.5,6.8,41.0,14.0,0.0,219,304,0.5,5,23.0,14.0,4.0,2.0,0.0,0.0,0.0,9,6,1,4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.19,0.58,34.15,0.07,0.21,72.04,0.0,0.0,0.0,0.0
Val Soares,BRA,1997.0,['Marítimo'],['MF'],18,1216.0,1,0,1,1,0,0,6,0,0.6,0.6,1.1,1.7,19.0,6.0,0.0,624,762,1.1,15,33.0,15.0,0.0,15.0,0.0,1.0,0.0,38,23,2,13,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.04,31.58,0.05,0.17,81.89,0.0,0.0,0.0,0.0
Valber Huerta,CHI,1993.0,['Toluca'],['DF'],57,5066.0,2,1,3,2,0,0,6,0,2.8,2.8,1.0,3.8,45.0,16.0,4.0,3290,3719,1.0,10,27.0,18.0,3.0,13.0,1.0,1.0,1.0,60,38,43,86,219,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,35.56,0.04,0.12,88.46,0.0,0.0,0.0,0.0
Valentim Sousa,POR,2005.0,['Rio Ave'],['FW'],5,85.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,24,31,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,77.42,0.0,0.0,0.0,0.0
Valentin Antov,BUL,2000.0,['Monza'],['DF'],9,306.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,229,0.0,1,4.0,2.0,0.0,2.0,0.0,0.0,0.0,6,5,4,4,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.77,0.0,0.0,0.0,0.0
Valentin Atangana Edoa,FRA,2005.0,['Reims'],['MF'],22,729.0,0,0,0,0,0,0,0,0,0.5,0.5,0.30000000000000004,0.8,10.0,2.0,0.0,196,227,0.30000000000000004,5,26.0,16.0,2.0,6.0,0.0,0.0,0.0,27,16,2,6,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,20.0,0.0,0.0,86.34,0.0,0.0,0.0,0.0
Valentin Carboni,ARG,2005.0,"['Inter', 'Genoa', 'Monza']","['MF,FW', 'MF,DF']",41,1395.0,2,3,5,2,0,0,3,0,2.5,2.5,1.8,4.3,25.0,8.0,0.0,504,612,1.8,26,27.0,26.0,3.0,17.0,0.0,1.0,0.0,35,20,1,8,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.19,0.16,32.0,0.08,0.25,82.35,0.0,0.0,0.0,0.0
Valentin Cojocaru,ROU,1995.0,['OH Leuven'],['GK'],37,3330.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1084,1378,0.2,3,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,19,3,56.0,167.0,110.0,8.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.66,1.51,65.87,21.62,15.38
Valentin Gendrey,FRA,2000.0,['Lecce'],['DF'],74,6145.0,2,5,7,2,0,0,9,0,2.2,2.2,4.5,6.7,28.0,5.0,0.0,2062,2828,4.5,51,50.0,67.0,4.0,135.0,2.0,2.0,0.0,143,90,15,72,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.03,17.86,0.07,0.4,72.91,0.0,0.0,0.0,0.0
Valentin Guillaume,BEL,2001.0,['Seraing'],"['MF,FW']",19,476.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2.0,0.0,0.0,115,182,0.4,5,13.0,1.0,2.0,16.0,0.0,0.0,0.0,5,2,1,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,63.19,0.0,0.0,0.0,0.0
Valentin Rongier,FRA,1994.0,"['Marseille', 'Rennes']",['MF'],51,4288.0,1,2,3,1,0,0,11,0,2.5,2.5,3.7,6.2,35.0,8.0,0.0,2599,2957,3.7,45,71.0,41.0,0.0,13.0,0.0,0.0,0.0,120,74,19,70,63,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,22.86,0.03,0.12,87.89,0.0,0.0,0.0,0.0
Valentin Rosier,FRA,1996.0,"['Nice', 'Osasuna']","['DF,MF']",10,624.0,0,1,1,0,0,0,3,1,0.1,0.1,0.7,0.8,4.0,0.0,0.0,261,344,0.7,6,9.0,4.0,1.0,13.0,0.0,0.0,0.0,10,5,1,12,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.0,0.0,0.0,75.87,0.0,0.0,0.0,0.0
Valentine Ozornwafor,NGA,1999.0,['Charleroi'],['DF'],3,52.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1.0,0.0,0.0,21,27,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,77.78,0.0,0.0,0.0,0.0
Valentino Lazaro,AUT,1996.0,['Torino'],"['DF,MF', 'DF']",63,3730.0,0,7,7,0,0,0,8,0,2.0999999999999996,2.0999999999999996,5.7,7.8999999999999995,24.0,6.0,3.0,1668,2196,5.7,66,31.0,14.0,2.0,228.0,0.0,1.0,0.0,36,20,5,12,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,25.0,0.0,0.0,75.96,0.0,0.0,0.0,0.0
