Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Jakub Kamiński,POL,Other,"['Köln', 'Wolfsburg']",54,3071.0,7,4,0,0.11,75.05,59.62
Jakub Kiwior,POL,DF,"['Arsenal', 'Spezia']",44,2816.0,2,3,0,0.12,84.3,69.39
Jakub Moder,POL,MF,"['Brighton', 'Feyenoord']",31,1814.0,3,2,2,0.11,78.21,59.57
Jakub Piotrowski,POL,Other,['Udinese'],4,191.0,0,0,0,0.0,83.61,50.0
Jamaal Lascelles,England,DF,['Newcastle Utd'],25,1319.0,1,0,0,0.11,86.17,60.0
Jamal Amofa,Netherlands,DF,['Go Ahead Eag'],55,4240.0,1,1,0,0.12,82.74,66.67
Jamal Lewis,NIR,Other,['Newcastle Utd'],2,11.0,0,0,0,0.0,85.71,0.0
Jamal Lowe,JAM,Other,['Bournemouth'],2,12.0,0,0,0,0.0,50.0,0.0
Jamal Musiala,Germany,Other,['Bayern Munich'],57,3953.0,22,15,0,0.18,82.57,64.86
James Abankwah,IRL,DF,['Udinese'],2,63.0,0,0,0,0.0,79.31,100.0
James Bree,England,DF,['Southampton'],5,367.0,0,0,0,0.0,74.72,60.0
James Garner,England,MF,['Everton'],59,4348.0,2,4,0,0.03,76.94,60.34
James Hill,England,DF,['Bournemouth'],11,336.0,0,0,0,0.0,67.4,83.33
James Jeggo,AUS,MF,['Eupen'],14,902.0,0,0,0,0.0,78.12,52.0
James Justin,England,DF,"['Leicester City', 'Leeds United']",16,1271.0,0,0,0,0.0,81.49,90.0
James Lawrence,Wales,DF,['Almere City'],26,1755.0,0,1,0,0.0,84.78,56.0
James Lea Siliki,CMR,Other,['Estoril'],22,803.0,3,0,0,0.19,59.57,80.0
James Maddison,England,MF,"['Leicester City', 'Tottenham']",58,4615.0,14,18,1,0.1,77.51,53.57
James McArthur,Scotland,MF,['Crystal Palace'],4,54.0,0,0,0,0.0,78.85,100.0
James McConnell,England,MF,['Liverpool'],3,4.0,0,0,0,0.0,83.33,0.0
James Mcatee,England,MF,"['Manchester City', 'Sheffield Utd', ""Nott'ham Forest""]",35,1952.0,3,3,1,0.12,70.44,67.65
James Milner,England,MF,"['Brighton', 'Liverpool']",50,1813.0,1,3,1,0.08,80.41,67.35
James Ndjeungoue,CMR,DF,['Kortrijk'],4,222.0,0,0,0,0.0,66.15,42.86
James Rodríguez,Colombia,Other,['León'],16,1222.0,2,6,1,0.08,79.42,70.0
James Sands,United States,MF,['St. Pauli'],5,446.0,0,0,0,0.0,76.89,41.18
James Shea,England,GK,['Luton Town'],1,15.0,0,0,0,0.0,66.67,0.0
James Tarkowski,England,DF,['Everton'],82,7379.0,2,2,0,0.03,79.05,61.48
James Tomkins,England,DF,['Crystal Palace'],10,348.0,1,0,0,0.33,81.25,50.0
James Trafford,England,GK,"['Manchester City', 'Burnley']",31,2790.0,0,0,0,0.0,66.12,50.0
James Ward-Prowse,England,MF,"['Southampton', 'West Ham']",80,6785.0,16,11,4,0.19,80.84,59.65
Jamie Donley,NIR,FW,['Tottenham'],3,3.0,0,0,0,0.0,100.0,0.0
Jamie Gittens,England,FW,"['Chelsea', 'Dortmund']",44,1736.0,4,5,0,0.06,77.63,50.0
Jamie Jacobs,Netherlands,MF,['Cambuur'],27,1502.0,2,0,0,0.04,65.1,40.54
Jamie Leweling,Germany,FW,"['Union Berlin', 'Stuttgart']",55,2167.0,5,8,0,0.08,76.54,56.52
Jamie Vardy,England,FW,"['Leicester City', 'Cremonese']",38,1889.0,3,4,0,0.11,52.79,55.56
Jamil Siebert,Germany,DF,['Lecce'],1,78.0,0,0,0,0.0,97.37,0.0
Jamiro Monteiro,CPV,MF,['Zwolle'],28,1977.0,2,2,0,0.12,83.9,56.45
Jan Bednarek,POL,DF,"['Southampton', 'Aston Villa']",23,1772.0,0,0,0,0.0,83.99,80.0
Jan Bekkema,Netherlands,GK,['Heerenveen'],1,1.0,0,0,0,0.0,50.0,0.0
Jan Carmona,Mexico,Other,['FC Juárez'],4,149.0,0,0,0,0.0,66.0,0.0
Jan Gorenc,SVN,DF,['Eupen'],3,176.0,0,0,0,0.0,75.82,33.33
Jan Král,CZE,DF,['Eupen'],29,1271.0,1,1,0,0.07,76.21,57.89
Jan Oblak,SVN,GK,['Atlético Madrid'],73,6542.0,0,0,0,0.0,71.71,0.0
Jan Olschowsky,Germany,GK,['Gladbach'],4,360.0,0,0,0,0.0,82.39,0.0
Jan Paul van Hecke,Netherlands,DF,['Brighton'],42,3204.0,0,0,0,0.0,91.58,58.06
Jan Plug,Netherlands,DF,['Feyenoord'],1,2.0,0,0,0,0.0,71.43,0.0
Jan Salas,Spain,MF,['Mallorca'],2,17.0,0,0,0,0.0,60.0,0.0
Jan Schöppner,Germany,MF,['Heidenheim'],30,2335.0,2,2,0,0.11,66.32,52.73
Jan Thielmann,Germany,FW,['Köln'],51,2819.0,5,3,0,0.08,65.41,70.0
Jan Van den Bergh,Belgium,DF,['NAC Breda'],30,2700.0,2,4,0,0.08,73.29,58.46
Jan Vertonghen,Belgium,DF,"['Benfica', 'Anderlecht']",56,4806.0,4,1,0,0.11,85.6,56.0
Jan Virgili,Spain,MF,['Mallorca'],3,58.0,0,1,0,0.0,74.07,100.0
Jan Ziółkowski,POL,DF,['Roma'],1,20.0,0,0,0,0.0,50.0,100.0
Jan de Boer,Netherlands,GK,['Groningen'],3,226.0,0,0,0,0.0,32.14,0.0
Jan Žambůrek,CZE,MF,['Heracles Almelo'],20,935.0,0,1,0,0.0,74.75,46.43
Jan-Carlo Simic,SRB,DF,"['Anderlecht', 'Milan']",28,2137.0,4,0,0,0.33,86.76,55.56
Jan-Niklas Beste,Germany,FW,"['Freiburg', 'Heidenheim', 'Benfica']",47,3340.0,8,12,0,0.14,62.51,66.99
Jandro Orellana,Spain,MF,['Estoril'],23,1018.0,1,1,0,0.11,85.33,52.63
Janik Haberer,Germany,MF,['Union Berlin'],58,3770.0,6,2,0,0.12,73.25,59.72
Janis Antiste,France,FW,['Sassuolo'],2,52.0,1,0,0,1.0,72.22,0.0
Janis Blaswich,Germany,GK,['RB Leipzig'],47,4230.0,0,0,0,0.0,86.9,100.0
Jannes Horn,Germany,Other,['Bochum'],2,59.0,0,0,0,0.0,78.95,50.0
Jannes Van Hecke,Belgium,Other,['Mechelen'],45,1988.0,0,0,0,0.0,78.27,67.8
Jannes Wieckhoff,Germany,DF,['Heracles Almelo'],39,2611.0,0,3,0,0.0,79.06,64.63
Jannik Müller,Germany,Other,['Darmstadt 98'],16,1134.0,0,0,0,0.0,77.23,48.48
Jaouen Hadjam,ALG,DF,['Nantes'],21,917.0,0,1,0,0.0,78.97,75.76
Japhet Tanganga,England,DF,['Tottenham'],4,146.0,0,0,0,0.0,89.13,66.67
Jardel,GNB,Other,['Vizela'],13,185.0,0,1,0,0.0,75.36,50.0
Jarell Quansah,England,DF,"['Liverpool', 'Leverkusen']",22,1640.0,3,0,0,0.33,88.38,87.5
Jari De Busser,Belgium,GK,['Go Ahead Eag'],16,1440.0,0,0,0,0.0,73.97,0.0
Jari Vandeputte,Belgium,MF,['Cremonese'],5,256.0,0,1,0,0.0,68.69,57.14
Jari Vlak,Netherlands,MF,['Emmen'],31,1685.0,1,0,0,0.06,74.81,48.65
Jarne Steuckers,Belgium,FW,"['Sint-Truiden', 'Genk']",59,4977.0,12,12,5,0.15,74.49,55.56
