id1,id2,score,notes
FBRef_005339,TM_061623,0.926571429,comparators=4
FBRef_006703,TM_019933,0.926369048,comparators=4
FBRef_004334,TM_069137,0.926282828,comparators=4
FBRef_000638,TM_014705,0.926095238,comparators=4
FBRef_002736,TM_014183,0.926005291,comparators=4
FBRef_004303,TM_033775,0.925740741,comparators=4
FBRef_003683,TM_020284,0.925509259,comparators=4
FBRef_007345,TM_038424,0.925318182,comparators=4
FBRef_000698,TM_034431,0.925079365,comparators=4
FBRef_004699,TM_053489,0.925,comparators=4
FBRef_002479,TM_020323,0.924888889,comparators=4
FBRef_003701,TM_050165,0.924655248,comparators=4
FBRef_002220,TM_021049,0.924541246,comparators=4
FBRef_000479,TM_031170,0.924388889,comparators=4
FBRef_002339,TM_042204,0.924259259,comparators=4
FBRef_004067,TM_061251,0.924111111,comparators=4
FBRef_001444,TM_037750,0.924102564,comparators=4
FBRef_005035,TM_036553,0.924044289,comparators=4
FBRef_001734,TM_051510,0.924007937,comparators=4
FBRef_004118,TM_028180,0.923986928,comparators=4
FBRef_000457,TM_043356,0.923333333,comparators=4
FBRef_006244,TM_012253,0.923232323,comparators=4
FBRef_004417,TM_015985,0.923232323,comparators=4
FBRef_003102,TM_008915,0.923232323,comparators=4
FBRef_002715,TM_007320,0.923232323,comparators=4
FBRef_000867,TM_006956,0.923174603,comparators=4
FBRef_000329,TM_062778,0.922962963,comparators=4
FBRef_002190,TM_061727,0.922929293,comparators=4
FBRef_001450,TM_018480,0.922773109,comparators=4
FBRef_006671,TM_068882,0.922301587,comparators=4
FBRef_002503,TM_045086,0.922017544,comparators=4
FBRef_006355,TM_021385,0.921888889,comparators=4
FBRef_005843,TM_043040,0.921595442,comparators=4
FBRef_003925,TM_039182,0.921111111,comparators=4
FBRef_005004,TM_032011,0.921015873,comparators=4
FBRef_005518,TM_036954,0.920935731,comparators=4
FBRef_004527,TM_033778,0.920555556,comparators=4
FBRef_006946,TM_025130,0.920555556,comparators=4
FBRef_004762,TM_022480,0.92031746,comparators=4
FBRef_005989,TM_045791,0.92015873,comparators=4
FBRef_001831,TM_019804,0.920019841,comparators=4
FBRef_006409,TM_024132,0.92,comparators=4
FBRef_004654,TM_031038,0.919978355,comparators=4
FBRef_006902,TM_015390,0.919722222,comparators=4
FBRef_001780,TM_025156,0.919642857,comparators=4
FBRef_003982,TM_003853,0.919202279,comparators=4
FBRef_001464,TM_036763,0.919107448,comparators=4
FBRef_005313,TM_002641,0.919021146,comparators=4
FBRef_003078,TM_057932,0.91877193,comparators=4
FBRef_001696,TM_057315,0.918531746,comparators=4
FBRef_004448,TM_039518,0.918333333,comparators=4
FBRef_000282,TM_005720,0.918,comparators=4
FBRef_002504,TM_040583,0.917777778,comparators=4
FBRef_004814,TM_037247,0.917249906,comparators=4
FBRef_005326,TM_024086,0.917146465,comparators=4
FBRef_004089,TM_010008,0.916984127,comparators=4
FBRef_002180,TM_033133,0.916734007,comparators=4
FBRef_000918,TM_026411,0.916714286,comparators=4
FBRef_004120,TM_030337,0.916666667,comparators=4
FBRef_001583,TM_031048,0.916666667,comparators=4
FBRef_001012,TM_014135,0.916613757,comparators=4
FBRef_000276,TM_043827,0.916461538,comparators=4
FBRef_001657,TM_038431,0.915823718,comparators=4
FBRef_002070,TM_036308,0.915732323,comparators=4
FBRef_000520,TM_023445,0.915540016,comparators=4
FBRef_004567,TM_006944,0.915454545,comparators=4
FBRef_004308,TM_013173,0.915198413,comparators=4
FBRef_003831,TM_002858,0.915087719,comparators=4
FBRef_002677,TM_005029,0.915,comparators=4
FBRef_002704,TM_017691,0.91489899,comparators=4
FBRef_000866,TM_005389,0.914761905,comparators=4
FBRef_003214,TM_056773,0.914343434,comparators=4
FBRef_007322,TM_051442,0.914305556,comparators=4
FBRef_002141,TM_014914,0.914239316,comparators=4
FBRef_003844,TM_056784,0.914141414,comparators=4
FBRef_002942,TM_032058,0.913703704,comparators=4
FBRef_006550,TM_020787,0.913492063,comparators=4
FBRef_002037,TM_029747,0.913398896,comparators=4
FBRef_004554,TM_044443,0.91327381,comparators=4
FBRef_006061,TM_042297,0.912896825,comparators=4
FBRef_005693,TM_014985,0.912857143,comparators=4
FBRef_003761,TM_028568,0.912706007,comparators=4
FBRef_000655,TM_009629,0.912666667,comparators=4
FBRef_000774,TM_016134,0.912453704,comparators=4
FBRef_001290,TM_009830,0.912179487,comparators=4
FBRef_007306,TM_018254,0.911508185,comparators=4
FBRef_005515,TM_044409,0.910818713,comparators=4
FBRef_005701,TM_035398,0.910726912,comparators=4
FBRef_005892,TM_067930,0.910595238,comparators=4
FBRef_007225,TM_047799,0.910512821,comparators=4
FBRef_006141,TM_060297,0.910393939,comparators=4
FBRef_004690,TM_066505,0.910261438,comparators=4
FBRef_002026,TM_001906,0.90991453,comparators=4
FBRef_003842,TM_069361,0.909715197,comparators=4
FBRef_000953,TM_037763,0.90959707,comparators=4
