id1,id2,score,notes
FM_113604,TM_056176,0.985757576,comparators=7
FM_089996,TM_030426,0.985666667,comparators=7
FM_074553,TM_023550,0.985666667,comparators=7
FM_074002,TM_010865,0.985666667,comparators=7
FM_077606,TM_024473,0.985666667,comparators=7
FM_073568,TM_011846,0.985606061,comparators=7
FM_073970,TM_047094,0.985606061,comparators=7
FM_020147,TM_028008,0.985606061,comparators=7
FM_073704,TM_041535,0.985606061,comparators=7
FM_014680,TM_029467,0.985606061,comparators=7
FM_078369,TM_044313,0.985580087,comparators=7
FM_074746,TM_067869,0.985416667,comparators=7
FM_169404,TM_026358,0.985416667,comparators=7
FM_002855,TM_063801,0.985416667,comparators=7
FM_104177,TM_055211,0.985372549,comparators=7
FM_151658,TM_031459,0.985333333,comparators=7
FM_008510,TM_052058,0.985333333,comparators=7
FM_073950,TM_020674,0.985333333,comparators=7
FM_046231,TM_058615,0.98530303,comparators=7
FM_073844,TM_018036,0.985282051,comparators=7
FM_073559,TM_028667,0.985212121,comparators=7
FM_073586,TM_006089,0.985212121,comparators=7
FM_073665,TM_044304,0.985212121,comparators=7
FM_073629,TM_012568,0.985212121,comparators=7
FM_084803,TM_029730,0.985111111,comparators=7
FM_074755,TM_012522,0.985111111,comparators=7
FM_044063,TM_015506,0.98504902,comparators=7
FM_108929,TM_015666,0.985,comparators=7
FM_105721,TM_046546,0.985,comparators=7
FM_000489,TM_011190,0.985,comparators=7
FM_089962,TM_063521,0.985,comparators=7
FM_077735,TM_008672,0.985,comparators=7
FM_105771,TM_059036,0.985,comparators=7
FM_079157,TM_029706,0.984952381,comparators=7
FM_156536,TM_018158,0.984791667,comparators=7
FM_153665,TM_011836,0.984784314,comparators=7
FM_042362,TM_014992,0.984761905,comparators=7
FM_044066,TM_025511,0.984761905,comparators=7
FM_045968,TM_000667,0.984761905,comparators=7
FM_043304,TM_015172,0.984761905,comparators=7
FM_048830,TM_060424,0.984761905,comparators=7
FM_105874,TM_044189,0.984761905,comparators=7
FM_044734,TM_028743,0.984761905,comparators=7
FM_045970,TM_008792,0.984761905,comparators=7
FM_043766,TM_049275,0.984761905,comparators=7
FM_043760,TM_010877,0.984761905,comparators=7
FM_044056,TM_032396,0.984761905,comparators=7
FM_044085,TM_044842,0.984761905,comparators=7
FM_046121,TM_012159,0.984761905,comparators=7
FM_043403,TM_053260,0.984761905,comparators=7
FM_045699,TM_013058,0.984761905,comparators=7
